issuer,issuer_address,issuer_number,business_code,invoice_n,date,billed_to,email,website,deadline,data,subtotal,tax,total
Wade PLC,"Unit 1900 Box 2684
DPO AP 54083",(948)881-1545x75780,5891461,91545,2020-02-12,Katherine Cabrera,macosta@example.net,https://morales.com/,14,"[[""morph scalable e-markets"", 432.25, 8, 3458.0], [""visualize scalable platforms"", 73.53, 4, 294.12], [""visualize virtual functionalities"", 21.55, 3, 64.65]]",3816.77,253.88,4070.65
"Mayer, Horne and Turner","542 Wood Lights Apt. 550
North Stephanie, UT 19756",001-808-134-6015,7230132,41500,2020-01-09,Julie Alvarez,james46@example.com,https://johnson-smith.com/,31,"[[""engage plug-and-play systems"", 451.72, 6, 2710.32]]",2710.32,284.3,2994.62
"English, Ortiz and Steele","19541 Lauren Meadows Apt. 587
Daniellechester, NM 53669",+1-562-872-7213x9205,2305824,34717,2021-08-25,Cynthia Mccoy DVM,gregorymiddleton@example.org,http://munoz-tran.com/,49,"[[""enable global communities"", 72.38, 9, 651.42]]",651.42,45.7,697.12
"Tran, Jackson and Carter","USCGC Woodward
FPO AE 76468",085.357.6598,5194087,63609,2021-01-24,Paul Wilson,barbara44@example.com,https://cooper-garcia.com/,55,"[[""seize clicks-and-mortar communities"", 141.35, 5, 706.75], [""unleash leading-edge synergies"", 387.06, 6, 2322.36], [""productize end-to-end metrics"", 270.82, 1, 270.82], [""e-enable extensible web-readiness"", 157.98, 8, 1263.84]]",4563.77,849.36,5413.13
Osborn and Sons,"7408 Miller Causeway
New Rachel, MI 01896",6853528735,3433692,5172,2022-01-14,Maria Washington MD,brandonsteele@example.org,https://www.bond.com/,43,"[[""integrate frictionless paradigms"", 267.97, 6, 1607.82]]",1607.82,211.05,1818.87
"Lee, Vazquez and Molina","67269 Michelle Station Suite 094
South Terri, NM 03287",+1-487-264-5928,6388275,6857,2021-09-02,Deborah Sanchez,garzajason@example.net,https://evans-elliott.net/,38,"[[""extend transparent paradigms"", 337.8, 8, 2702.4], [""aggregate value-added schemas"", 454.5, 8, 3636.0], [""deploy next-generation solutions"", 103.52, 9, 931.68]]",7270.08,1073.56,8343.64
Nelson-Mccoy,"965 Alexander Unions Apt. 392
North Brettchester, NM 80429",035-271-7727x7128,4466244,71825,2019-12-28,Patrick Gamble,kevinwright@example.org,http://fischer.biz/,44,"[[""scale plug-and-play models"", 385.89, 9, 3473.01], [""drive dot-com models"", 167.76, 1, 167.76], [""orchestrate compelling ROI"", 285.57, 4, 1142.28], [""deliver intuitive deliverables"", 90.67, 1, 90.67], [""leverage bricks-and-clicks web services"", 342.93, 10, 3429.3]]",8303.02,673.16,8976.18
Moore Group,"55435 Kaiser Well
New Samanthahaven, OH 43085",653-531-5946,3976206,38530,2022-12-28,Jeffrey Middleton,johnsonlisa@example.net,https://www.jimenez.org/,1,"[[""empower cutting-edge metrics"", 230.32, 9, 2072.88], [""cultivate seamless niches"", 359.2, 1, 359.2]]",2432.08,435.26,2867.34
Ramirez-Wright,"49094 Weiss Curve
Smithton, GA 73810",001-290-778-6035x1350,9630248,67800,2020-12-02,Bruce Wright,jodi44@example.org,https://obrien.info/,44,"[[""morph revolutionary interfaces"", 434.67, 2, 869.34]]",869.34,109.71,979.05
Kelly PLC,"49009 Smith Dale
New Coreychester, ID 39507",8222055508,6909684,11327,2018-10-13,William Hughes,nshort@example.org,https://townsend.com/,14,"[[""enable end-to-end partnerships"", 18.27, 8, 146.16], [""incubate synergistic deliverables"", 407.12, 4, 1628.48], [""disintermediate vertical convergence"", 413.97, 8, 3311.76]]",5086.400000000001,572.46,5658.86
"Wright, Cervantes and Ali","213 Stephanie Ways Suite 690
North Nicoleberg, IN 78749",001-989-057-1896x9614,6008828,24122,2019-06-22,Janice Howard,webermatthew@example.net,https://miller-dunn.com/,11,"[[""enhance cross-platform solutions"", 107.71, 4, 430.84], [""redefine bricks-and-clicks web services"", 299.43, 10, 2994.3], [""deploy web-enabled e-tailers"", 320.53, 1, 320.53], [""drive collaborative experiences"", 446.33, 4, 1785.32], [""target bleeding-edge systems"", 393.31, 7, 2753.17]]",8284.16,781.08,9065.24
Webster-Wilson,"90899 Anthony Canyon Apt. 125
New Jasmineshire, NJ 30374",619.483.4073x42357,5616884,10966,2022-05-24,Mr. Michael Ramirez DDS,taylordavid@example.com,http://www.cohen.info/,47,"[[""re-contextualize scalable synergies"", 384.53, 10, 3845.3], [""aggregate virtual bandwidth"", 384.32, 6, 2305.92]]",6151.22,960.8,7112.02
Wagner and Sons,"61585 Patton Views Suite 481
Thompsonland, NJ 34085",(850)328-0844,1937409,6434,2020-12-01,Melissa Hanna,phillipburgess@example.org,http://oneill.com/,48,"[[""transform dynamic bandwidth"", 136.1, 8, 1088.8], [""matrix strategic e-services"", 290.91, 4, 1163.64], [""iterate ubiquitous methodologies"", 352.56, 9, 3173.04], [""innovate one-to-one applications"", 71.29, 10, 712.9]]",6138.379999999999,473.09,6611.47
"Thompson, Soto and Lewis","USS Morgan
FPO AA 78576",+1-036-992-6797x609,2876391,78411,2023-01-02,Carrie Brown,brandisawyer@example.org,http://williams.com/,6,"[[""engineer real-time synergies"", 322.83, 5, 1614.15], [""transform sticky infrastructures"", 23.03, 6, 138.18], [""empower cutting-edge experiences"", 100.4, 5, 502.0], [""visualize collaborative info-mediaries"", 216.41, 7, 1514.87]]",3769.2,479.5,4248.7
Atkinson PLC,"3229 Lucas Flats Suite 432
Dunlaptown, HI 18929",+1-915-099-1238x71879,2947164,90964,2020-04-23,Ashley Lewis,martinmaria@example.org,http://hardy-beltran.info/,4,"[[""reinvent real-time e-commerce"", 97.7, 2, 195.4], [""repurpose 24/7 architectures"", 258.21, 8, 2065.68]]",2261.08,366.05,2627.13
Richards-Smith,"212 Rodriguez Common Suite 276
Reedhaven, SD 06547",(473)104-6790,8438347,34477,2021-10-02,Anthony Parker,sarah26@example.net,https://www.miller-bennett.org/,21,"[[""expedite turn-key metrics"", 348.09, 2, 696.18], [""disintermediate plug-and-play relationships"", 375.56, 6, 2253.36]]",2949.54,440.26,3389.8
Martinez LLC,"9730 Angela Glen Apt. 741
Jonathanfurt, PW 33055",344-144-1130x6014,1434656,32218,2022-11-26,Joseph Thompson,noah54@example.org,https://www.boone.com/,2,"[[""integrate customized eyeballs"", 321.63, 3, 964.89], [""aggregate out-of-the-box networks"", 125.24, 3, 375.72], [""incentivize clicks-and-mortar e-markets"", 129.84, 1, 129.84]]",1470.45,108.77,1579.22
"Andrews, Chase and Adams","951 Espinoza Well Suite 219
South Todd, ME 73498",4452417463,2892722,75103,2021-08-06,Daisy Jones,xnorman@example.org,https://ramirez-parker.com/,20,"[[""maximize front-end channels"", 285.42, 3, 856.26], [""matrix next-generation e-markets"", 208.03, 4, 832.12]]",1688.38,323.99,2012.37
Forbes Inc,"2416 Tracy Forest Apt. 379
Reedfort, KY 40067",531-434-4561x58654,7697582,36031,2019-09-21,Joshua Hubbard,evelynreid@example.org,http://www.smith-ward.com/,25,"[[""deliver visionary channels"", 286.69, 1, 286.69], [""empower magnetic partnerships"", 50.85, 1, 50.85]]",337.54,21.3,358.84
"Rodriguez, Melton and Ingram","333 David Forges Suite 725
New Michael, AZ 47969",(076)921-6728,5426419,84761,2019-02-19,Jeanne Collins,buckjordan@example.com,https://www.shaw.com/,36,"[[""target innovative initiatives"", 43.82, 6, 262.92]]",262.92,40.97,303.89
Stevenson-Scott,"00165 Fuller Prairie Apt. 976
Gregoryville, KY 32626",112.458.3992,1336917,76548,2019-06-16,Mason King,dsimmons@example.com,http://simmons.com/,22,"[[""e-enable B2B channels"", 256.95, 1, 256.95], [""streamline viral channels"", 14.91, 10, 149.1], [""synthesize clicks-and-mortar markets"", 12.97, 3, 38.91], [""redefine sticky info-mediaries"", 310.0, 5, 1550.0], [""incentivize frictionless action-items"", 43.75, 7, 306.25]]",2301.21,239.96,2541.17
Espinoza PLC,"831 David Rapids Apt. 730
Coxchester, VA 53779",+1-208-627-6748x57782,9065944,54532,2018-09-07,Xavier Werner,dukerobert@example.org,http://www.nelson.org/,54,"[[""reinvent best-of-breed models"", 191.42, 6, 1148.52], [""exploit global supply-chains"", 348.29, 9, 3134.61], [""incentivize revolutionary e-markets"", 122.97, 2, 245.94], [""repurpose turn-key eyeballs"", 436.59, 7, 3056.13]]",7585.2,1338.83,8924.03
Rodriguez LLC,"8146 Grant Center
Fryton, VA 05270",001-701-537-0499,1615772,48829,2021-04-01,Patrick Bentley,cabrerachristy@example.net,https://www.duarte.info/,35,"[[""facilitate dot-com deliverables"", 301.05, 8, 2408.4]]",2408.4,279.94,2688.34
Adams-Howard,"3594 Peter Ways
Gonzalesview, LA 80099",758.460.1955x064,6779659,50098,2022-06-05,Steven Rodriguez,ugreen@example.org,http://cross.com/,13,"[[""cultivate virtual users"", 436.5, 2, 873.0], [""engage mission-critical web-readiness"", 85.19, 10, 851.9], [""synthesize next-generation architectures"", 431.93, 3, 1295.79]]",3020.69,404.48,3425.17
"Campbell, Johnson and Drake","049 Shannon Courts
Nicolefurt, MS 60784",961-618-3583x03808,4481603,13390,2020-03-21,Jerry Buck,pdavis@example.net,https://www.bell.com/,28,"[[""transition web-enabled applications"", 246.32, 2, 492.64], [""enhance dot-com markets"", 284.63, 10, 2846.3], [""maximize one-to-one solutions"", 404.27, 10, 4042.7], [""visualize integrated portals"", 289.9, 10, 2899.0], [""enhance cutting-edge ROI"", 405.15, 7, 2836.05]]",13116.689999999999,1143.46,14260.15
Dodson Ltd,"18829 Isabel Way
Dickersonmouth, OH 97805",731.021.1738x4382,4872406,34767,2022-09-28,Corey Bright,kaitlyn76@example.net,https://www.reid.com/,18,"[[""cultivate value-added paradigms"", 138.94, 8, 1111.52]]",1111.52,155.62,1267.14
Smith-Ford,"4947 Obrien Common
Brownton, WV 04573",(429)071-2973x4147,6819724,15947,2020-09-04,Jeffery Waters,erica55@example.com,http://www.garcia.com/,28,"[[""engineer synergistic technologies"", 258.56, 2, 517.12], [""synergize value-added users"", 379.46, 9, 3415.14]]",3932.2599999999998,746.71,4678.97
"Jones, Osborne and Miller","80466 James Points Suite 316
East Trevorhaven, NV 89683",+1-610-765-2314x36100,1489322,27507,2020-04-28,April Chapman,johnsontheresa@example.net,https://www.gardner.net/,41,"[[""drive B2B schemas"", 185.86, 2, 371.72], [""incubate distributed partnerships"", 385.01, 8, 3080.08], [""utilize efficient supply-chains"", 86.75, 8, 694.0], [""e-enable next-generation eyeballs"", 360.86, 6, 2165.16], [""benchmark best-of-breed models"", 81.18, 7, 568.26]]",6879.22,742.3,7621.52
Mckinney Ltd,"112 Copeland Mount Suite 575
Apriltown, ID 68482",914-177-1559x57457,6917359,9864,2022-01-15,Randy Gilbert,samantha07@example.net,https://rogers-long.com/,20,"[[""monetize integrated networks"", 231.0, 7, 1617.0], [""exploit robust e-business"", 79.13, 2, 158.26], [""revolutionize real-time e-commerce"", 20.66, 5, 103.3]]",1878.56,244.94,2123.5
Mendez Ltd,"USNV Hudson
FPO AA 26697",(339)347-4668,9997884,33900,2022-08-15,Dennis Olson,mary20@example.net,https://hunter-cook.com/,6,"[[""morph one-to-one applications"", 495.92, 9, 4463.28], [""e-enable interactive info-mediaries"", 82.25, 1, 82.25], [""monetize out-of-the-box platforms"", 199.31, 7, 1395.17], [""redefine out-of-the-box paradigms"", 193.88, 8, 1551.04]]",7491.74,984.63,8476.37
Boyd PLC,"93502 Smith Isle
Jonathanfurt, WY 05033",+1-734-574-8758,1365679,29183,2022-10-20,Laura Jefferson,lisa04@example.org,http://www.moreno-curtis.com/,55,"[[""enhance bleeding-edge communities"", 316.85, 7, 2217.95], [""whiteboard world-class e-commerce"", 91.47, 4, 365.88]]",2583.83,430.62,3014.45
"Black, Rogers and Clark","565 Jennifer Forge
Joseland, MI 87659",798.673.2492x931,6520368,68052,2021-08-16,Caitlin Lewis,hevans@example.com,http://www.bowers.com/,30,"[[""empower collaborative methodologies"", 401.54, 4, 1606.16]]",1606.16,99.81,1705.97
Olson PLC,"2148 Lucas Throughway Apt. 007
Riveraborough, MD 10179",(611)487-4857x0645,5798009,82944,2019-04-04,Calvin Fischer,nicholas94@example.com,https://www.alvarez.biz/,20,"[[""matrix visionary e-tailers"", 378.52, 9, 3406.68], [""orchestrate cross-media solutions"", 368.82, 1, 368.82], [""incentivize bricks-and-clicks convergence"", 204.97, 2, 409.94], [""deploy cross-media eyeballs"", 431.98, 1, 431.98]]",4617.42,380.46,4997.88
Shelton-Summers,"30728 Carter Ferry
Dayport, RI 58629",067-371-1427,9572324,11851,2020-09-09,Kevin Dunn,wyattmiranda@example.com,https://anderson.info/,53,"[[""harness collaborative web services"", 412.94, 7, 2890.58], [""aggregate virtual experiences"", 355.52, 9, 3199.68], [""harness end-to-end functionalities"", 260.03, 10, 2600.3]]",8690.560000000001,1599.17,10289.73
Rodriguez PLC,"9323 Duke River
South Melissaton, MT 74648",634.023.5549x62619,4462488,95036,2022-05-21,Jordan Hunt,valerielynch@example.com,https://www.watson-green.com/,26,"[[""revolutionize scalable e-services"", 245.6, 1, 245.6], [""generate ubiquitous initiatives"", 316.11, 10, 3161.1], [""deploy one-to-one relationships"", 135.2, 2, 270.4]]",3677.1,594.57,4271.67
"Browning, Mayer and Vargas","354 Ricardo Gateway Suite 275
West Gabriellebury, TX 87926",+1-576-258-0969x9550,9755559,89291,2019-02-16,Gary Waters,bwest@example.org,https://www.sanchez-moody.com/,22,"[[""leverage next-generation web-readiness"", 13.39, 5, 66.95], [""exploit back-end convergence"", 121.55, 8, 972.4], [""e-enable turn-key initiatives"", 56.08, 9, 504.72], [""whiteboard out-of-the-box web-readiness"", 52.97, 5, 264.85]]",1808.92,263.41,2072.33
"Webster, Johnson and Thomas","10515 Nelson Valleys
West Courtneyfurt, NC 45418",(753)537-1672x8056,5804094,17786,2019-04-04,Jennifer Watson,shellyturner@example.com,http://www.simpson-mcdonald.biz/,21,"[[""implement bricks-and-clicks e-business"", 311.33, 8, 2490.64], [""innovate cross-platform experiences"", 473.24, 5, 2366.2], [""optimize sticky markets"", 309.1, 4, 1236.4], [""morph B2C users"", 408.93, 2, 817.86]]",6911.099999999999,1153.47,8064.57
"Rasmussen, Hall and Carney","3752 Campbell Neck
Mollyshire, MA 52277",1399442946,2668966,75237,2022-03-23,Samuel Salinas,floreskyle@example.org,http://www.gay.org/,55,"[[""repurpose intuitive content"", 365.79, 9, 3292.11], [""cultivate web-enabled e-business"", 422.84, 3, 1268.52], [""visualize sticky methodologies"", 300.86, 8, 2406.88], [""e-enable rich metrics"", 199.21, 4, 796.84], [""embrace strategic networks"", 289.36, 3, 868.08]]",8632.43,1088.26,9720.69
"Curtis, Bullock and Chen","805 Hall Plaza
North Edward, AR 71173",909-075-7046,8045834,91661,2022-01-23,John Thompson,julie95@example.org,https://kent.biz/,48,"[[""revolutionize dynamic markets"", 14.93, 7, 104.51], [""strategize sticky convergence"", 198.14, 5, 990.7], [""extend one-to-one communities"", 352.52, 1, 352.52], [""integrate dynamic deliverables"", 359.05, 8, 2872.4]]",4320.13,295.39,4615.52
"Lara, Taylor and Thompson","94759 Ingram Trace Suite 231
Port Robert, MN 27050",402-747-1892x468,6432699,92846,2020-11-27,Kathleen Douglas,johnsonjoshua@example.com,http://www.yates.com/,25,"[[""enhance transparent partnerships"", 433.13, 6, 2598.78], [""exploit ubiquitous e-business"", 159.8, 3, 479.4], [""deploy cross-media web-readiness"", 285.41, 8, 2283.28], [""monetize cross-media partnerships"", 283.27, 8, 2266.16], [""maximize dot-com niches"", 278.63, 5, 1393.15]]",9020.77,1013.68,10034.45
Barnes-Williams,"5536 Martin Bypass
Ryanborough, ID 62668",2804752933,3287969,68483,2020-09-16,Anna Phillips,mikescott@example.org,http://kim.org/,8,"[[""re-intermediate viral portals"", 446.05, 5, 2230.25], [""whiteboard transparent interfaces"", 254.35, 4, 1017.4], [""drive rich communities"", 462.71, 2, 925.42], [""extend open-source e-business"", 266.76, 3, 800.28], [""re-intermediate strategic experiences"", 182.84, 1, 182.84]]",5156.19,488.36,5644.55
Lopez and Sons,"355 Thompson Turnpike
Jennifermouth, KS 66061",+1-183-666-2984x0062,6192856,95715,2020-03-10,Alejandro Franklin,kaitlynbrowning@example.org,http://parker-moreno.com/,49,"[[""matrix leading-edge methodologies"", 497.87, 5, 2489.35], [""morph back-end ROI"", 173.65, 10, 1736.5], [""orchestrate visionary deliverables"", 349.4, 4, 1397.6], [""extend strategic platforms"", 371.34, 10, 3713.4], [""redefine open-source solutions"", 83.78, 8, 670.24]]",10007.09,1159.13,11166.22
Duncan Inc,"84288 Smith Meadows Apt. 494
West Alexshire, NJ 21752",001-953-181-4046x177,6140222,23258,2019-12-28,Richard Blair,clayton13@example.org,http://www.richards.com/,24,"[[""generate turn-key synergies"", 242.79, 10, 2427.9], [""architect cross-platform models"", 259.85, 3, 779.55], [""synthesize bricks-and-clicks deliverables"", 59.68, 3, 179.04], [""cultivate revolutionary markets"", 22.2, 3, 66.6]]",3453.0899999999997,311.12,3764.21
Jones Group,"3089 Charles Lodge Apt. 981
West Christinemouth, VT 00958",001-283-167-5287x43369,6964612,30345,2022-06-06,Courtney Cherry,jason82@example.com,https://www.thompson.info/,46,"[[""re-intermediate extensible infrastructures"", 283.06, 9, 2547.54], [""repurpose intuitive schemas"", 334.1, 5, 1670.5], [""syndicate customized niches"", 183.99, 9, 1655.91], [""unleash next-generation metrics"", 329.06, 2, 658.12], [""optimize ubiquitous systems"", 350.33, 7, 2452.31]]",8984.38,838.01,9822.39
"Horn, Burke and Roy","17792 Robinson Neck
West Wendy, TN 63230",+1-999-197-6690x749,3780577,40297,2019-12-31,Nancy Williams,aclark@example.org,https://www.smith.com/,3,"[[""exploit plug-and-play networks"", 481.59, 8, 3852.72], [""transition world-class experiences"", 123.64, 9, 1112.76], [""strategize global e-commerce"", 159.53, 6, 957.18], [""architect distributed web services"", 255.39, 2, 510.78], [""benchmark B2B paradigms"", 337.25, 2, 674.5]]",7107.94,500.02,7607.96
"Fowler, Russell and Smith","145 Douglas Neck Apt. 432
Port Sarahborough, ND 71531",2452472509,4818522,21701,2023-02-07,April Green,jonathanbrown@example.com,https://www.lowery.com/,48,"[[""embrace frictionless paradigms"", 185.97, 7, 1301.79]]",1301.79,236.34,1538.13
Lane Inc,"35536 Thomas Roads Suite 646
Normatown, TX 02460",(071)032-2431x5080,2317527,68857,2020-10-02,Colton Duke,cynthiapatterson@example.com,http://www.gonzalez.info/,27,"[[""deliver proactive solutions"", 316.39, 10, 3163.9], [""cultivate innovative models"", 425.78, 7, 2980.46], [""grow extensible relationships"", 385.54, 9, 3469.86]]",9614.220000000001,500.71,10114.93
"Mason, Hernandez and Kim","0612 Johnson Wells Suite 566
Joshualand, RI 01651",(023)992-4758x6168,8762827,54174,2020-12-11,Adam Vargas,cassandra94@example.net,https://conner-peters.com/,34,"[[""innovate holistic communities"", 282.48, 9, 2542.32]]",2542.32,378.69,2921.01
Porter and Sons,"PSC 5202, Box 0264
APO AP 72078",202.174.9696,1196507,17514,2022-08-16,Dana Torres,amandacantu@example.com,http://www.hodges.org/,22,"[[""generate intuitive functionalities"", 219.96, 5, 1099.8], [""synthesize one-to-one markets"", 270.17, 4, 1080.68], [""syndicate sticky initiatives"", 449.85, 8, 3598.8], [""embrace 24/365 e-tailers"", 46.27, 9, 416.43], [""exploit efficient interfaces"", 470.87, 5, 2354.35]]",8550.060000000001,1118.48,9668.54
"Ford, Calhoun and Reynolds","789 Nguyen Freeway Suite 299
Davidton, IN 40173",+1-821-971-8204,7061876,53597,2021-08-30,Jennifer Harvey,whitejennifer@example.org,https://maxwell-mcconnell.com/,41,"[[""expedite mission-critical e-tailers"", 374.64, 6, 2247.84], [""whiteboard visionary methodologies"", 23.02, 9, 207.18], [""incentivize end-to-end channels"", 99.38, 4, 397.52]]",2852.54,212.07,3064.61
Hayes LLC,"468 Kristina Pike Suite 868
South Stacyshire, PA 42811",622.333.3294x44484,8053710,68279,2018-08-12,Stephanie Fletcher,andersonjeffrey@example.org,http://johnson.com/,30,"[[""evolve granular architectures"", 204.62, 6, 1227.72], [""syndicate dynamic channels"", 400.87, 2, 801.74], [""re-intermediate ubiquitous relationships"", 313.51, 2, 627.02], [""benchmark killer e-markets"", 90.85, 2, 181.7], [""implement cutting-edge users"", 47.5, 10, 475.0]]",3313.18,558.7,3871.88
Valentine-White,"31914 Johnson Rue
Kyleport, PA 39387",979-598-6948,2161417,98391,2019-04-30,Ryan Valenzuela,cowanmichael@example.com,https://www.rivers-norman.com/,43,"[[""incubate magnetic web-readiness"", 425.45, 4, 1701.8]]",1701.8,154.13,1855.93
"Chang, Massey and Bartlett","90935 Andrew Course Apt. 448
Kristyton, RI 25542",(308)772-1346x382,6621603,68456,2022-12-24,Holly Gentry,dmarshall@example.com,https://www.serrano-thompson.com/,47,"[[""drive intuitive models"", 227.86, 4, 911.44], [""empower virtual e-commerce"", 54.79, 4, 219.16], [""scale holistic solutions"", 247.73, 3, 743.19], [""seize e-business experiences"", 407.6, 9, 3668.4]]",5542.1900000000005,873.45,6415.64
House-Lawrence,"48582 Daniel Forge Apt. 811
Lake Michael, GA 76892",+1-351-946-9294x0524,6853061,33453,2020-06-26,Mark Martinez,delgadodavid@example.org,http://velez-cantu.info/,52,"[[""embrace holistic bandwidth"", 347.09, 8, 2776.72]]",2776.72,241.88,3018.6
Harding-Stephens,"Unit 3788 Box 4726
DPO AP 91361",+1-400-965-9420x9524,2592348,57651,2018-05-17,Alyssa Stewart,russellsmith@example.net,http://www.weaver.com/,38,"[[""deploy enterprise e-business"", 449.64, 3, 1348.92], [""empower viral markets"", 259.99, 1, 259.99]]",1608.91,272.62,1881.53
"Francis, Jones and Grant","72893 Christopher Island Apt. 077
Robertview, ID 88310",+1-475-469-5667x7566,3295949,13681,2021-11-27,Laura Cooper,millerlaurie@example.org,https://hill.com/,10,"[[""expedite global schemas"", 150.53, 8, 1204.24], [""engineer e-business ROI"", 109.67, 6, 658.02], [""whiteboard interactive e-services"", 91.62, 1, 91.62], [""facilitate turn-key e-business"", 367.05, 9, 3303.45]]",5257.33,810.9,6068.23
Sanchez-Fisher,"138 Petersen Mall
Christopherton, MH 89528",+1-843-624-4814x719,6629074,10498,2019-04-09,Peter Weber,nbarron@example.net,http://larsen.com/,50,"[[""brand impactful ROI"", 90.95, 8, 727.6], [""reinvent rich deliverables"", 72.6, 7, 508.2], [""syndicate proactive experiences"", 60.69, 5, 303.45], [""drive compelling networks"", 350.47, 4, 1401.88]]",2941.13,449.77,3390.9
Stone and Sons,"5829 Vincent Ways Suite 853
South Tyler, AS 08640",211-651-0211x48528,5993862,75430,2019-07-26,Ashley Thomas,carl65@example.org,http://martin.com/,43,"[[""aggregate efficient deliverables"", 201.95, 6, 1211.7], [""re-intermediate interactive deliverables"", 345.21, 5, 1726.05], [""engineer out-of-the-box methodologies"", 274.73, 7, 1923.11]]",4860.86,752.38,5613.24
Garcia-Smith,"8693 Roger Rapids
Christopherstad, MP 61264",5628763063,5227964,62645,2020-07-02,Randall Moore,stevenpatterson@example.com,http://wilson-jones.com/,52,"[[""integrate bleeding-edge action-items"", 395.0, 1, 395.0], [""exploit revolutionary vortals"", 276.85, 10, 2768.5], [""maximize wireless convergence"", 350.74, 1, 350.74]]",3514.24,475.4,3989.64
Watson Inc,"3341 Bush Square Apt. 721
Lake Jerryport, PR 46574",(071)475-8113,5774916,90902,2019-01-19,Robert Patel,teresamcdonald@example.com,http://carr.info/,13,"[[""implement robust solutions"", 124.83, 7, 873.81]]",873.81,152.96,1026.77
Burton-Best,"3179 Holland Cove Suite 714
Port Lindahaven, MH 94340",719.632.6107x713,9328260,77792,2021-11-23,Walter Rosales,hford@example.net,http://ferrell.com/,1,"[[""optimize scalable users"", 112.32, 10, 1123.2], [""scale next-generation systems"", 384.16, 2, 768.32], [""syndicate granular technologies"", 436.32, 2, 872.64]]",2764.16,550.4,3314.56
"James, Mcclain and Alvarado","31378 Robert Oval Suite 026
West Theresa, CA 24115",+1-587-482-3501x159,4499728,40625,2020-01-27,Rachel Gutierrez DVM,james60@example.com,https://taylor-bradford.biz/,36,"[[""enable innovative users"", 154.91, 10, 1549.1]]",1549.1,87.52,1636.62
Rogers Inc,"8612 Drake Landing
West Michellemouth, AL 57034",(974)617-8111,2171016,69438,2018-12-05,Anthony Moreno,comptondavid@example.com,https://www.nelson.com/,54,"[[""iterate wireless synergies"", 449.7, 1, 449.7], [""grow distributed models"", 39.76, 1, 39.76], [""grow efficient web services"", 246.13, 8, 1969.04], [""incentivize killer eyeballs"", 25.17, 8, 201.36]]",2659.86,448.02,3107.88
"Smith, Robertson and Wang","Unit 8416 Box 8508
DPO AE 79139",674-345-5267x30246,7717668,52464,2018-11-28,Sharon Forbes,elizabethanderson@example.org,http://www.figueroa.com/,10,"[[""matrix bricks-and-clicks systems"", 300.27, 6, 1801.62]]",1801.62,245.35,2046.97
Huff-Miller,"48637 Dunn Spurs Suite 064
Hughesfort, NM 20534",717-956-0463x028,1635447,47129,2021-12-02,Jennifer Woods,markshea@example.com,http://www.williams-beard.org/,19,"[[""matrix world-class technologies"", 297.1, 4, 1188.4], [""redefine collaborative infrastructures"", 171.89, 5, 859.45], [""re-intermediate real-time e-commerce"", 340.74, 4, 1362.96]]",3410.8100000000004,589.15,3999.96
"Salinas, Armstrong and Mitchell","476 Alyssa Roads Suite 402
Frankfurt, MN 33770",822-305-3771x01842,2454521,49950,2020-04-04,Christopher Ford,martintara@example.com,https://norton.com/,22,"[[""orchestrate efficient e-business"", 263.07, 1, 263.07], [""reinvent cutting-edge interfaces"", 201.34, 5, 1006.7], [""evolve B2C e-commerce"", 442.18, 9, 3979.62], [""expedite holistic convergence"", 392.34, 9, 3531.06]]",8780.449999999999,517.86,9298.31
Davis Ltd,"8669 Davis Mountain Suite 477
Craigview, IL 43705",7985273532,5449228,37335,2022-09-14,Crystal Decker,shannon79@example.net,http://gibbs.com/,58,"[[""re-contextualize granular e-business"", 212.71, 10, 2127.1], [""unleash value-added deliverables"", 248.66, 10, 2486.6], [""re-contextualize vertical web-readiness"", 377.82, 8, 3022.56]]",7636.26,836.51,8472.77
Galloway PLC,"76793 White Course Apt. 912
Obrienfurt, OK 33148",844.607.2774,5311092,4340,2022-11-03,Cameron Marquez,mosleyhector@example.net,http://www.anderson-thompson.net/,43,"[[""unleash scalable e-markets"", 382.04, 2, 764.08], [""redefine robust schemas"", 144.61, 1, 144.61], [""whiteboard efficient schemas"", 246.36, 5, 1231.8]]",2140.49,309.01,2449.5
"Chavez, Martinez and Vega","413 Stephanie Cove Suite 409
Pamelafurt, SD 28930",690.031.2617,8271146,3707,2019-06-25,Brandy Ball,whampton@example.net,https://rose-santiago.org/,10,"[[""morph best-of-breed e-tailers"", 236.9, 9, 2132.1], [""transform visionary ROI"", 41.76, 3, 125.28], [""redefine efficient initiatives"", 36.37, 10, 363.7]]",2621.08,153.74,2774.82
"Jackson, Anderson and Sims","44171 Kristen Ramp Suite 722
Alexanderfort, DC 79030",+1-136-253-2179x317,2950406,72326,2022-09-28,Melvin Edwards,mhernandez@example.net,https://www.walker.net/,51,"[[""utilize value-added mindshare"", 213.57, 6, 1281.42]]",1281.42,83.46,1364.88
Woodward PLC,"USNV Warren
FPO AE 64743",435-243-6959x84899,7732202,25343,2020-05-24,Dawn Holland,caroljames@example.net,https://williamson.com/,13,"[[""productize strategic web services"", 262.59, 9, 2363.31], [""disintermediate wireless ROI"", 33.34, 7, 233.38], [""cultivate efficient mindshare"", 109.22, 3, 327.66], [""harness extensible convergence"", 345.31, 1, 345.31], [""leverage scalable initiatives"", 422.55, 6, 2535.3]]",5804.96,1082.75,6887.71
